'Level of description','Identifier','Title','Date','Description','Format','Rights','Contributor','Collection identifier','Collection title','Published online?',MulMultiMediaRefLocal_1,URL
Sub-item,2008.0045.00011,Postcards to advise customers of the need to arrange servicing [11 of many],c.1950-1959,Previous Control Number: ID 4552 Do you Know?,,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1673,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00011
Sub-item,2008.0045.00016,Advertisements for Shell products [1 of many],c.1930-1935,Previous Control Number: ID 1024 I am back on Shell,,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1695,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00016
Sub-item,2008.0045.00017,Advertisements for Shell products [2 of many],c.1930-1935,Previous Control Number: ID 1024 Shell wins! Others try.. [version 1],,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1696,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00017
Sub-item,2008.0045.00018,Advertisements for Shell products [3 of many],c.1930-1935,Previous Control Number: ID 1024 Shell wins! Others try.. [version 2],,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1697,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00018
Sub-item,2008.0045.00019,Advertisements for Shell products [15 of many],c.1930-1935,Previous Control Number: ID 1024 Shell wins! Others try.. [version 1 alternatate size],,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1698,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00019
Sub-item,2008.0045.00020,Advertisements for Shell products [4 of many],c.1930-1935,Previous Control Number: ID 1024 Shell wins! Others try.. [version 3),,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1699,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00020
Sub-item,2008.0045.00021,Advertisements for Shell products [5 of many],c.1930-1935,Previous Control Number: ID 1024 Shell wins! Others try.. [version 4),,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1700,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00021
Sub-item,2008.0045.00022,Advertisements for Shell products [6 of many],c.1930-1935,Previous Control Number: ID 1024 Shell wins! Others try.. [version 5),,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1701,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00022
Sub-item,2008.0045.00023,Advertisements for Shell products [7 of many],c.1930-1935,"Previous Control Number: ID 1024 Advertisements for Shell products [7 of many] Shell specialised lubrication 
[version 1]",,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1702,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00023
Sub-item,2008.0045.00024,Advertisements for Shell products [8 of many],c.1930-1935,Previous Control Number: ID 1024 Advertisements for Shell products [8 of many] Shell specialised lubrication [version 2],,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1703,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00024
Sub-item,2008.0045.00025,Advertisements for Shell products [9 of many],c.1930-1935,Previous Control Number: ID 1024 Advertisements for Shell products [9 of many] A winter's tale [version 1],,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1704,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00025
Sub-item,2008.0045.00026,Advertisements for Shell products [10 of many],c.1930-1935,Previous Control Number: ID 1024 Advertisements for Shell products [10 of many] A winter's tale [version 2],,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1705,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00026
Sub-item,2008.0045.00027,Advertisements for Shell products [11 of many],c.1930-1935,Previous Control Number: ID 1024 Advertisements for Shell products [11 of many] A winter's tale [version 3],,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1706,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00027
Sub-item,2008.0045.00028,Advertisements for Shell products [12 of many],c.1930-1935,Previous Control Number: ID 1024 Advertisements for Shell products [12 of many] A winter's tale [version 4],,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1707,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00028
Sub-item,2008.0045.00029,Advertisements for Shell products [13 of many],c.1930-1935,Previous Control Number: ID 1024 Advertisements for Shell products [13 of many] A winter's tale [version 5],,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1708,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00029
Sub-item,2008.0045.00030,Advertisements for Shell products [14 of many],c.1930-1935,Previous Control Number: ID 1024 Advertisements for Shell products [14 of many] Shell pumps are sealed,,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1709,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00030
Sub-item,2008.0045.00031,Photographs of racing drivers [1 of many],29-Oct-70,"Previous Control Number: ID 2540 Photographs of racing drivers [1 of many] Walton's Pacesetters 500. Inscriptions: Walton Stores Sales incentive launch meeting, Camberwell Civic centre, Norm Beechey guest speaker",,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1717,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00031
Sub-item,2008.0045.00032,Photographs of racing drivers [2 of many],May-73,"Previous Control Number: ID 2540 Photographs of racing drivers [2 of many] Inscriptions: New boy in Europe: Perkins surveys his ex-works at a meeting in Pau in the South of France, May, 1973",,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1719,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00032
Sub-item,2008.0045.00033,Photographs of racing drivers [3 of many],c.1964-1973,Previous Control Number: ID 2540 Photographs of racing drivers [3 of many] Alfa Romeo at Bathurst,,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1721,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00033
Sub-item,2008.0045.00034,Photographs of racing drivers [4 of many],2-Sep-73,"Previous Control Number: ID 2540 Photographs of racing drivers [4 of many] Inscriptions: Victory in Sweden: A new outright lap record and victory in the Swedish Formula 3 race in Knutstorp, September 2, 1973",,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1723,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00034
Sub-item,2008.0045.00035,Photographs of racing drivers [5 of many],1964,"Previous Control Number: ID 2540 Photographs of racing drivers [5 of many] Inscriptions: Norm Beechey, 1964",,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1725,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00035
Sub-item,2008.0045.00036,Photographs of racing drivers [6 of many],10-Oct-66,Previous Control Number: ID 2540 Photographs of racing drivers [6 of many] Norm Beechey. Inscriptions: Applied Photography Adelaide 4057,,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1727,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00036
Sub-item,2008.0045.00038,Photographs of racing drivers [8 of many],c.1964-1973,Previous Control Number: ID 2540 Photographs of racing drivers [8 of many] Norm Beechey's #4 at a Shell Service station,,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1731,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00038
Sub-item,2008.0045.00040,Photographs of racing drivers [10 of many],1966,"Previous Control Number: ID 2540 Photographs of racing drivers [10 of many] Stewart, 1966. Inscriptions: MR257-12 Ray Simpson motor sport photography",,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1736,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00040
Sub-item,2008.0045.00041,Photographs of racing drivers [11 of many],26-Feb-67,"Previous Control Number: ID 2540 Photographs of racing drivers [11 of many] Inscriptions: Stewart BRM[?] V8, Sandown, 26/2/67, S1/13 Copyright Leonard J Shaw",,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1738,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00041
Sub-item,2008.0045.00042,Photographs of racing drivers [12 of many],26-Feb-67,"Previous Control Number: ID 2540 Photographs of racing drivers [12 of many] Inscriptions: Stewart BRM[?] V8, Sandown, 26/2/67, S2/4 Copyright Leonard J Shaw",,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1740,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00042
Sub-item,2008.0045.00043,Photographs of racing drivers [13 of many],26-Feb-67,"Previous Control Number: ID 2540 Photographs of racing drivers [13 of many] Inscriptions: Stewart BRM[?] V8, Sandown, 26/2/67, S4/19 Copyright Leonard J Shaw",,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1742,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00043
Sub-item,2008.0045.00044,Photographs of racing drivers [14 of many],1965,"Previous Control Number: ID 2540 Photographs of racing drivers [14 of many] Lakeside Governor's Trophy, 1965 Inscriptions: Brier Thomas photo, reference 31D S7/6",,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1744,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00044
Sub-item,2008.0045.00037,Photographs of racing drivers [7 of many],c.1964-1973,Previous Control Number: ID 2540 Photographs of racing drivers [7 of many] Norm Beechey's #4,,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1748,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00037
Sub-item,2008.0045.00039,Photographs of racing drivers [9 of many],c.1964-1973,Previous Control Number: ID 2540 Photographs of racing drivers [9 of many] Tridents racing team #3,,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1750,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00039
Sub-item,2008.0045.00046,Automobile motor racing photographs[1 of many],1979,Previous Control Number: ID 2547 Automobile motor racing photographs[1 of many] Sign at entrance to Lakeside,,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1753,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00046
Sub-item,2008.0045.00047,Automobile motor racing photographs [2 of many],1979,Previous Control Number: ID 2547 Automobile motor racing photographs [2 of many] Front view of Shell racing pit,,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1755,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00047
Sub-item,2008.0045.00048,Automobile motor racing photographs [3 of many],1979,Previous Control Number: ID 2547 Automobile motor racing photographs [3 of many] Shell bridge from the going away side,,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1757,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00048
Sub-item,2008.0045.00049,Photographs of the Shell Touring Service and Mapping Unit [1 of many],c.1928-1969,Previous Control Number: ID 1925 Photographs of the Shell Touring Service and Mapping Unit [1 of many] Inscriptions: Laurie Richards No. LH 303 SWW0157,,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1759,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00049
Sub-item,2008.0045.00052,Photographs of the Shell Touring Service and Mapping Unit [4 of many],c.1928-1969,Previous Control Number: ID 1925  Kennedy Creek Crossing Inscriptions: SWW0194,,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1808,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00052
Sub-item,2008.0045.00053,Photographs of the Shell Touring Service and Mapping Unit [5 of many],c.1928-1969,"Previous Control Number: ID 1925  Unit in Adelaide H. McKeown and Howard Adkin. Inscriptions: 3555.2, sww0140",,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1810,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00053
Sub-item,2008.0045.00055,Photographs of the Shell Touring Service and Mapping Unit [7 of many],c.1928-1969,Previous Control Number: ID 1925  O/R. E. J (Joe) Colclough cwe [?] at Shell. Inscriptions: 301,,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1813,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00055
Sub-item,2008.0045.00056,Photographs of the Shell Touring Service and Mapping Unit [8 of many],c.1928-1969,Previous Control Number: ID 1925  Final Loading of Provisions at Newcastle Waters - Thornycroft Expedition 1929,,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1815,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00056
Sub-item,2008.0045.00057,Photographs of the Shell Touring Service and Mapping Unit [9 of many],c.1928-1969,"Previous Control Number: ID 1925  The Thornycroft Expedition succeeded only by draining the last of the fuel from the Kookaburra, for their return journey. Inscriptions: 234",,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1817,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00057
Sub-item,2008.0045.00058,Photographs of the Shell Touring Service and Mapping Unit [10 of many],c.1928-1969,Previous Control Number: ID 1925  Newcastle Waters - Thornycroft Expedition 1929,,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1819,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00058
Sub-item,2008.0045.00059,Photographs of the Shell Touring Service and Mapping Unit [11 of many],c.1928-1969,"Previous Control Number: ID 1925  Inscriptions: 3568.8.  Shell House Journal Month: May, Image No: 8 & 9",,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1821,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00059
Sub-item,2008.0045.00060,Photographs of the Shell Touring Service and Mapping Unit [12 of many],c.1928-1969,"Previous Control Number: ID 1925  Bullet-riddled border sign  Inscriptions: 3568.13. Enroute to Alice Springs.  People February, 28 P.38 Enlarge",,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1823,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00060
Sub-item,2008.0045.00061,Photographs of the Shell Touring Service and Mapping Unit [13 of many],c.1928-1969,"Previous Control Number: ID 1925  Motorists being shown typical country […] on an overland route - Miss Parker (Centre).  Inscriptions: 3568.4. Photograph by Stuart Brown, Mosman.  Shell House Journal Month: September Image No: 8 & 9",,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1825,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00061
Sub-item,2008.0045.00062,Photographs of the Shell Touring Service and Mapping Unit [14 of many],c.1928-1969,"Previous Control Number: ID 1925  Ian Bosworth. Inscriptions: April 1971, Shell Times Editor: Arnis Verbikis, No. S1357 Laurie Richards, Alphington",,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1827,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00062
Sub-item,2008.0045.00063,Photographs of the Shell Touring Service and Mapping Unit [15 of many],c.1928-1969,"Previous Control Number: ID 1925  Inscriptions: 1 set 4 colour power Engravings 8 3/8"" wide 120 #, Blocks mounted to U.S.P Trim block of bush at top .
SWW0146, P/S 9667",,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1829,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00063
Sub-item,2008.0045.00065,Photographs of the Shell Touring Service and Mapping Unit [17 of many],c.1928-1969,"Previous Control Number: ID 1925  Main Road Thargomindah - Quilpie, 1950. Inscriptions: SWW0122",,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1831,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00065
